Name	Set	ImageFile	Class	Level	Attack	HP	Type	Type2	Text	 Text2 	 Text3 	Rarity	Number
Power Elixir	Set4	powerelixir	Thief	90		 	Item	Potion	When your turn ends, you may destroy Power Elixir. If you do, get +HP equal to your level and draw cards until you have 5 cards in hand.	OS: Drink Potion -- You get +HP equal to your level.	 	U	4043
Triple-Tipped Zamadar	Set4	tripletippedzamadar	Thief	17	 	 	Item	Weapon	One of your monsters gets +10 attack each turn. If you have another Weapon, that monster gets +20 attack instead.	40T Spawn 40 -- Play a monster of level 40 or less.	 	C	4044
Vogen's Forge	Set4	vogensforge	Thief	35	 	 	Tactic	Strategy	Choose one: Destroy an item, or play an item of your level or less from your discard pile.	OS: Spy -- Draw a card. Then discard a card from your hand.	 	C	4045
Balrog's Dance	Set4	balrogsdance	Warrior	35	 	 	Tactic	Strategy	One of your monsters gets +30 attack this turn. Whenever it damages your opponent's character this turn, destroy one of that opponent's items.	OS: Dances with Balrogs Team Up -- Get +20 HP. If you're level 60 or more, you may play Dances with Balrogs.	 	R	4046
Crystal Boar	Set4	crystalboar	Warrior	40	30	30	Monster	Ice Boar	Stupefy -- When you play Crystal Boar, your opponent can't play tactics next turn.	30WW Spawn 40 -- Play a monster of level 40 or less.	 	C	4047
Dances With Balrog	Set4	danceswithbalrog	Warrior	80	40	160	Monster	NPC Boss	90WWW MegaSpawn -- Search your deck for a non-Boss monster and play it. Then shuffle your deck.	 	 	R	4048
Ericsson	Set4	ericsson	Warrior	35	30	30	Monster	Human NPC	NPC Quest -- Ericsson or another of your monsters is destroyed. Reward -- Do 30 damage to a monster or character.	80W Spawn 100 -- Play a monster of level 100 or less.	 	U	4049
Ice Golem	Set4	icegolem	Warrior	60	40	60	Monster	Ice Guardian	Shield 30 -- Ice Golem prevents 30 damage to your character instead of 10.	20W Whack -- Do 10 damage to a monster.	 	U	4050
Relaxer	Set4	relaxer	Warrior	10	 	 	Item	Chair	When your turn ends, if you didn't play any tactic or item cards this turn other than this card, get +20 HP.	40WW Refresh -- You get +10 HP.	 	C	4051
Rexton	Set4	rexton	Warrior	95	80	80	Monster	Fire Beast	Fire Snort -- When you play Rexton, it gets +40 attack until the end of turn.	OS: Gusto -- For the next non-Boss monster you play this turn, get +HP equal to that monster's HP.	 	R	4052
Shammos	Set4	shammos	Warrior	50	40	40	Monster	Troll NPC	NPC Quest -- You have 4 or more monsters in your discard pile when your turn ends. Reward -- Return a monster card from your discard pile to your hand.	50W Spawn 60 -- Play a monster of level 60 or less.	 	U	4053
Shawn's Descent	Set4	shawnsdescent	Warrior	30	 	 	Tactic	Strategy	Look at the top 5 cards of your deck. You may reveal a monster card from among them and put it into your hand. Put the others on the bottom of your deck in any order.	70WW Think Fast / Equip 70 -- Play a tactic or item of level 70 or less.	 	C	4054
Street Slime	Set4	streetslime	Warrior	19	10	10	Monster	Goo	Burble -- Street Slime gets +10 attack and +10 HP for each of your other Goo in play or in your discard pile.	50WW Stick Together -- Monsters that attack this turn each get +10 attack for each Goo you have when you attack.	 	U	4055
Taurospear	Set4	taurospear	Warrior	75	70	50	Monster	Bull Human	Prevail -- When Taurospear is destroyed, return it to your hand.	OS: Expert Scout -- If you're level 70 or more, reveal the top 2 cards of your deck. If they're both monsters, draw them. Otherwise put them back in any order.	 	R	4056
The Shining	Set4	theshining	Warrior	60	 	 	Item	Weapon	Whenever one of your monsters is destroyed, do damage equal to its attack to a character.	OS: Shining Cleave -- Until your next turn starts, whenever one of your monsters is destroyed, do damage equal to its attack to a character.	 	R	4057
Tucker	Set4	tucker	Warrior	 	 	240	Character	Page	10 Quest -- Draw a card.	20W Refresh -- You get +10 HP.	30W NPC Spawn -- Play an NPC of your level or less. It gets +20 HP until your next turn starts.	U	4058
Wild Kargo	Set4	wildkargo	Warrior	62	60	70	Monster	Beast	 	30WW Spawn / Equip 30 -- Play a monster or item of level 30 or less.	 	C	4059
Wooden Mask	Set4	woodenmask	Warrior	23	20	30	Monster	Beast	Masked Power -- Whenever Wooden Mask attacks, you get +20 HP.	OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise, put it back.	 	C	4060
Game Champion	Promo	gamechampion	Jobless	 	 	220	Character	Duelist	10 Quest -- Draw a card.	10 Change Job -- Choose a color. All cards under your character and their actions become that color until the end of your turn.	 	P	P005
Angry Hector	Set5	angryhector	Bowman	55	50	50	Monster	Wolf	Raise Hackles -- When you play Angry Hector, clas with your opponent. If you win, monsters that attack this turn each get +30 attack until end of turn. (To clash, each player reveals the top card of their deck, then puts it on top or bottom. Whoever reveawled the highest-level card wins.)	70BBB Spawn 100 -- Play a monster of level 100 or less.	 	U	5001
Brown Woodsman Boots	Set5	brownwoodsmanboots	Bowman	15	 	 	Item	Armor	When your turn starts, you may choose an action on a card under your character. When you would do that action this turn, do it twice instead.	20BB Think Fast / Equip 20 -- Play a tactic or item of level 20 or less.	 	C	5002
Cerebes	Set5	cerebes	Bowman	72	70	70	Monster	Dog	Earthquake -- Whenever a monster damages Cerebes, do 40 damage to that monster.	80BB Spawn / Equip 120 -- Play a monster or item of level 120 or less. 	 	R	5003
Combo Shot	Set5	comboshot	Bowman	10	 	 	Tactic	Strategy	Do 30 damage to a character or monster and clash with your opponent. If you win, do another 30 damage to a character or monster. (To clash, each player reveals the top card of their deck, then puts it on top or bottom. Whoever reveawled the highest-level card wins.)	OS: Clash Time -- Clash with your opponent. If you win, do 40 damage to a character or monster.	 	C	5004
Diamond Arrows	Set5	diamondarrows	Bowman	10	 	 	Item	Weapon	When you finish doing your character actions each turn, do 10 damage to a character or monster. If you destroy one of your opponent's monsters this way, level up with Diamond Arrows.	OS: Quick Shot -- Do 20 damage to a character or monster	 	C	5005
Flynn	Set5	flynn	Bowman	 	 	190	Character	Sniper	10 Quest -- Draw a card.	20B Easy Shot -- Do 10 damage to a character or monster.	30BB Flying Spawn X -- Play a Flying monster of your level or less.	U	5006
Giant Centipede	Set5	giantcentipede	Bowman	59	40	90	Monster	Boss	60BB Trample 30 -- Giant Centipede does 30 damage to each other monster that isn't Flying.	 	 	U	5007
Green Avelin	Set5	greenavelin	Bowman	10	 	 	Item	Armor	Whenever you level up with a lightning-bolt ability, do that ability an extra time.	OS: Trigger Happy -- Do a lightning-bolt ability under your character other than a Trigger Happy.	 	R	5008
Grim Phantom Watch	Set5	grimphantomwatch	Bowman	99	80	80	Monster	Flying Undead Spook	Clock Tick -- Whenever Grim Phantom Watch attacks, clash with your opponent. If you win, you may play the top card of your deck. (To clash, each player reveals the top card of their deck, then puts it on top or bottom. Whoever reveawled the highest-level card wins.)	OS: Clash Time -- Clash with your opponent. If you win, do 40 damage to a character or monster.	 	R	5009
Jr. Boogie	Set5	jrboogie	Bowman	35	30	30	Monster	Flying Spook	Stealthy -- Monsters can't attack Jr. Boogie.	OS: Revive -- Return a monster of level 30 or less from your discard pile to your hand.	 	C	5010
Kiyo	Set5	kiyo	Bowman	30	20	40	Monster	Flying Bird	 	40B Spawn 40 -- Play a monster of level 40 or less.	 	C	5011
Magik Fierry	Set5	magikfierry	Bowman	30	30	20	Monster	Flying Fierry	Magician Proof -- Magician cards don't damage Magik Fierry.	60B Spawn / Think Fast 50 -- Play a monster or tactic of level 50 or less.	 	C	5012
Mass Respawn	Set5	massrespawn	Bowman	50	 	 	Tactic	Strategy	For each Bowman card under your character, you may play a monster of level 30 or less from your discard pile.	50B Think Fast 50 -- Play a tactic of level 50 or less.	 	R	5013
Metus	Set5	metus	Bowman	90	 	 	Item	Zakum Weapon	Whenever you would do an action on a card under your character, you may instead treat it as if it says 60BB Tricky Shot -- Do 20 damage to a character or monster.	70BB No Mercy 20 -- Do 20 damage to a character or monster. If that damage destroys a monster, do this action again.	 	R	5014
Pet Elephant	Set5	petelephant	Bowman	10	 	 	Item	Pet	Hungry -- When your turn starts, put the top card of your deck face down under this Pet. (A Pet can have up to 3 cards under it.) Never Forgets -- When Pet elephant has 3 cards under it, reveal them. Level up with one of those cards, then put the others on the bottom of your deck in any order.	OS: Remember -- If your opponent has more cards in hand than you, draw a card.	 	R	5015
Power Knock-Back	Set5	powerknockback	Bowman	40	 	 	Tactic	Skill	Put one of your opponent's monsters into his or her deck under the top card.	60BB Tricky Shot -- Do 20 damage to a character or monster.	 	U	5016
Spook School	Set5	spookschool	Bowman	52	100	100	Monster	Flying Spook Upgrade	Spook Upgrade -- Put on one of your Spook monsters.	50B Return of the Spook -- Play a Spook from your discard pile. When your turn ends, put it on the bottom of your deck.	 	U	5017
Tweeter	Set5	tweeter	Bowman	39	20	40	Monster	Flying Bird	Revenge -- Whenever your opponent plays a monster, item, or tactic, do 20 damage to his or her character.	 60BB Tricky Shot -- Do 20 damage to a character or monster. 	 	U	5018
Alien Armada	Set5	alienarmada	Magician	42	50	50	Monster	Alien Upgrade	Alien Upgrade -- Put on one of your Alien monsters. Collective Genius -- Whenever one of your Aliens attacks, draw a card.	OS: Quest -- Draw a card.	 	R	5019
Banard Gray	Set5	banardgray	Magician	40	30	30	Monster	Alien	Thief Proof -- Thief cards don't damage Banard Gray.	OS: Quest -- Draw a card.	 	C	5020
Beginner's Bolt	Set5	beginnersbolt	Magician	20	 	 	Tactic	Skill	Do 60 damage to a character or monster.	30M Spawn / Equip 30 -- Play a monster or item of level 30 or less.	 	C	5021
Blue Apprentice Hat	Set5	blueapprenticehat	Magician	10	 	 	Item	Armor	When you play Blue Apprentice Hat, draw a card. Whenever you level up, do 10 damage to a character.	10M Zap -- Do 10 damage to a character.	 	C	5022
Dark Axe Stump	Set5	darkaxestump	Magician	22	10	40	Monster	Dark Flora	 	40MM Spawn 40 -- Play a monster of level 40 or less.	 	C	5023
Dark Noel	Set5	darknoel	Magician	35	 	 	Item	Armor	Shield 10 -- Whenever your character would take damage, prevent 10 of that damage.	50M Think Fast / Equip 50 -- Play a tactic or item of level 50 or less.	 	C	5024
Devouring Flowers	Set5	devouringflowers	Magician	22	30	90	Monster	Flora Upgrade	Flora Upgrade -- Put on one of your Flora monsters. Plant Seeds -- Whenever Devouring Flowers attacks, you may return a Flora card from your discard pile to your hand.	OS: Floral Hunt 3 -- Reveal the top 3 cards of your deck. Put any Floras revealed this way into your hand and the others on the bottom of your deck in any order.	 	U	5025
Elliza	Set5	elliza	Magician	83	50	150	Monster	Boss	Soul Drain -- Whenver Elliza does damage, it gets that much +HP. It can't go over its starting HP with Soul Drain.	 	 	R	5026
Greater Spell  Booster	Set5	greaterspellbooster	Magician	50	 	 	Tactic	Skill	Draw 3 cards. Then put a card from your hand face down on top of your deck.	60MM Stir the Cauldron -- Look at the top card of your deck. You may put it on the bottom of your deck.	 	C	5027
Kage	Set5	kage	Magician	85	 	 	Item	Zakum Weapon	For each card in your hand, each of your monsters gets +10 attack.	60MM I Don't Know -- If you have no cards in hand, draw a card.	 	R	5028
Magic Armor	Set5	magicarmor	Magician	20	 	 	Tactic	Skill	Until your next turn starts, each of your monsters gets Shield 20 and each of your items gets Shield 10. (Each monster prevents 20 damage to your character instead of 10. Each item prevents 0 damage to your character instead of 0.)	40MM Shock -- Do 20 damage to a character.	 	U	5029
Mahibang	Set5	mahibang	Magician	 	 	190	Character	Priest	10 Quest -- Draw a card.	20M Wand Thwack -- Do 10 damage to a character or monster.	80MMM Think Fast Unlimited -- Play a tactic.	U	5030
Malady	Set5	malady	Magician	55	40	40	Monster	Flying Witch	Tactician 20 -- When you play Malady, you may play a tactic of level 20 or less from your hand or discard pile. Then put that card on the bottom of your deck.	60MM Spawn / Think Fast 70 -- Play a monster of level 70 or less.	 	U	5031
Peach Monkey	Set5	peachmonkey	Magician	62	60	60	Monster	Monkey	Greedy -- When you play Peach Monkey, you may destroy an item.	80MM Spawn 120 -- Play a monster of level 120 or less.	 	U	5032
Respawn	Set5	respawn	Magician	50	 	 	Tactic	Strategy	Choose a monster. Its player puts it on the bottom of his or her deck. Then that player reveals the cards from the top of his or her deck until a monster card is revealed. He or she plays that monster, then puts the other cards revealed this way on the bottom of his or her deck in any order.	70MM Think Fast 110 -- Play a tactic of level 110 or less.	 	R	5033
Tactical Strike	Set5	tacticalstrike	Magician	80	 	 	Tactic	Strategy	Do damage equal to 10 times the number of Magician cards under your character to each of your opponent's monsters. Then do that much damage to a character.	70MMM Magic Force -- Do 40 damage to a character.	 	R	5034
The Glimmer Man	Set5	theglimmerman	Magician	60	30	70	Monster	Alien NPC	NPC Quest -- Play a Weapon or Armor from your hand. Reward -- Search your deck for a Weapon or Armor card and play it. Then shuffle your deck.	70MM Spawn / Equip 80 -- Play a monster or item of level 80 or less.	 	R	5035
Zeta Gray	Set5	zetagray	Magician	42	20	20	Monster	Alien	Genius -- When you play Zeta Gray, draw a card.	OS: Quest -- Draw a card.	 	U	5036
Birthday Present	Set5	birthdaypresent	Thief	40			Tactic	Strategy	Search your deck for a card. Then shuffle your deck and put that card on top.	OS: Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it.	 	U	5037
Black Mamba	Set5	blackmamba	Thief	80	 	 	Item	Zakum Weapon	Double the attack value of each monster you have.	80TT Elite Equip Unlimited -- Play an item card. If it's the highest-level item in play, draw a card.	 	R	5038
Blin	Set5	blin	Thief	60	50	40	Monster	Fire Spook	Transmorph 60 -- When Blin is destroyed, you may play a monster of level 60 or less from your hand.	60T Spawn 60 -- Play a monster of level 60 or less.	 	C	5039
Clang	Set5	clang	Thief	48	50	30	Monster	Water Crab	 	30TTT Equip X -- Play an item of your level or less.	 	C	5040
Crop of Mushrooms	Set5	cropofmushrooms	Thief	40	70	60	Monster	Mushroom Upgrade	Mushroom Upgrade -- Put on one of your Mushroom monsters. Loot -- When you play Crop of Mushrooms, if your opponent has 3 or more cards in hand, he or she chooses one and discards it.	OS: Mushroom Respawn -- Play a Mushroom of your level or less from your discard pile.	 	U	5041
Exploding Meso Bags	Set5	explodingmesobags	Thief	30	 	 	Item	Bag	When your turn starts, you may destroy one of your items. If you do, do its level in damage, rounded up to the nearest 10, to a character or monster.	40TTT Crafty -- Play a Thief card of your level or less.	 	U	5042
Flower Fish	Set5	flowerfish	Thief	29	20	30	Monster	Water Fish	Warrior Proof -- Warrior cards don't do damage to Flower Fish.	50TT Spawn / Think Fast 50 -- Play a monster or tactic of level 50 or less.	 	C	5043
Gold Titans	Set5	goldtitans	Thief	15	 	 	Item	Weapon	Whenever your opponent draws a card, do 20 damage to his or her character.	OS: Free-For-All -- Each player draws a card.	 	R	5044
Ivan19712	Set5	ivan19712	Thief	 	 	200	Character	Hermit	10 Quest -- Draw a card.	30T Equip X -- Play an item of your level or less.	50TT Back Stab -- Do 10 damage to a character +20 for each Weapon you have.	U	5045
King Clang	Set5	kingclang	Thief	55	30	100	Monster	Boss	Super Tough -- All of your monsters are Tough. (They can't be damaged by character actions.)	60TT Pinch -- Your opponent chooses a card from his or her hand and discards it.	 	R	5046
Left Behind	Set5	leftbehind	Thief	10	 	 	Tactic	Strategy	Your opponent chooses and destroys one of his or her monsters.	30T Stab -- Do 10 damage to a character or monster.	 	C	5047
Master Death Teddy	Set5	masterdeathteddy	Thief	89	80	90	Monster	Undead Toy Bear	Frighten -- When you play Master Death Teddy, you may destroy a non-Boss monster.	60TT Ghostly Journey -- If your opponent has no cards in hand, draw a card.	 	R	5048
Morphed Blin	Set5	morphedblin	Thief	60	40	60	Monster	Fire Stone Goblin	Boulder Drop -- When your opponent's turn ends, do 40 damage to a character or monster.	80TT Sneak 90 -- Play a card of level 90 or less.	 	U	5049
Paper Fighter Plane	Set5	paperfigherplane	Thief	10	 	 	Item	Weapon	Whenever you play a card, do 10 damage to a character or monster.	20T Sneak 20 -- Play a card of level 20 or less.	 	C	5050
Psycho Jack	Set5	psychojack	Thief	30	30	20	Monster	Dark Toy	Loony -- When Psycho Jack is destroyed, if your opponent is higher level than you, he or she chooses a card under his or her character and destroys it.	OS: Ketchup -- If your opponent is higher level than you, level up with the top card of your deck.	 	R	5051
Shy Orange Mushroom	Set5	shyorangemushroom	Thief	8	30	30	Monster	Mushroom	Run Away -- When your opponent plays a monster or item, destroy Shy Orange Mushroom.	OS: Shy -- Draw a card. Then discard a card from your hand.	 	C	5052
Surprised Seacle	Set5	surprisedseacle	Thief	23	30	10	Monster	Water Beast	Lucky Day -- When Surprised Seacle is destroyed, clash with your opponent. If you win, return it to play. (To clash, each player reveals the top card of their deck, then puts it on top or bottom. Whoever reveawled the highest-level card wins.)	30T Spawn / Think Fast 30 -- Play a monster or tactic of level 30 or less.	 	U	5053
Trapped Chest	Set5	trappedchest	Thief	20	 	 	Item	Chest	When you play Trapped Chest, name a card. Your opponent can't play cards with that name.	OS: Thief Prowess -- Play a Thief card of your level or less.	 	R	5054
Aggro	Set5	aggro	Warrior	40	 	 	Tactic	Strategy	Reveal a monster card from your hand. Play it unless your opponent chooses to take 40 damage. If he or she does, keep that card revealed and you may reveal another monster card from your hand and repeat this process. When you're done, return the unplayed revealed cards to your hand.	70WW Spawn 110 -- Play a monster of level 110 or less.	 	R	5055
Blue Kentaurus	Set5	bluekentaurus	Warrior	88	80	80	Monster	Ice Centaur Beast	Numbing Frost -- Whenever Blue Kentaurus would take 60 or more damage all at once, that turn ends.	70WWW Spawn / Equip 100 -- Play a monster or item of level 100 or less.	 	R	5056
Cube Slime	Set5	cubeslime	Warrior	32	20	30	Monster	Goo	Gelatinous -- Whenever Cube Slime attacks, clash with your opponent. If you win, you may destroy an item. (To clash, each player reveals the top card of their deck, then puts it on top or bottom. Whoever reveawled the highest-level card wins.)	30WW Celebrate -- If you leveled up this turn, get +20 HP.	 	U	5057
Dark Master Sergeant	Set5	darkmastersergeant	Warrior	25	 	 	Item	Armor	Each of your monsters gets Armored 10. (Whenever one of your monsters would be damaged, prevent 10 of that damage.)	50WW Spawn / Equip 50 -- Play a monster or item of level 50 or less.	 	U	5058
Devil's Sunrise	Set5	devilssunrise	Warrior	90	 	 	Item	Zakum Weapon	Whenever you play a monster from your hand, do 60 damage to a character or monster. When your turn ends, you may return one of your monsters to your hand.	60WW Frontal Assault -- One of your monsters that attacks this turn gets +30 attack until the end of turn.	 	R	5059
Dragon Blood	Set5	dragonblood	Warrior	70	 	 	Tactic	Skill	For each Warrior card under your character, each of your monsters that attacks this turn gets +10 attack until the end of turn.	50WW Buff -- Monsters that attack this turn each get +10 attack until the end of turn.	 	R	5060
Fangblade	Set5	fangblade	Warrior	 	 	280	Character	Dark Knight	20 Quest -- Draw a card.	30W Crush -- Do 20 damage to a monster.	40WW Spawn X -- Play a monster of your level or less.	U	5061
Final Attack: Sword	Set5	finalattacksword	Warrior	35	 	 	Tactic	Skill	If you have a Weapon, one of your monsters that attacks this turn gets +60 attack until end of turn and you draw a card.	50WW Crush -- Do 20 damage to a monster.	 	U	5062
Goo Zoo	Set5	goozoo	Warrior	40	40	40	Monster	Goo Upgrade	Goo Upgrade -- Put on one of your Goo monsters. Divide -- When Goo Zoo would be destroyed, if there's a card under it, you may play that card instead.	OS: Grew New Goo -- Search your deck for a Goo, reveal it, and put it into your hand. Then shuffle your deck.	 	R	5063
Griffey	Set5	griffey	Warrior	105	80	180	Monster	Boss	60WW Uni Horn -- Discard a card from your hand. If you do, add the discarded card's level, rounded up to the nearest 10, to Griffey's attack this turn and draw a card.	 	 	R	5064
Ice Sentinel	Set5	icesentinel	Warrior	30	20	20	Monster	Mechanical Ice Guardian	Stupefy -- When you play Ice Sentinel, your opponent can't play tactics next turn.	60WW Spawn 80 -- Play a monster of level 80 or less.	 	C	5065
Improving HP Recovery	Set5	improvinghprecovery	Warrior	20	 	 	Tactic	Strategy	Whenever a monster does damage this turn, you get that much +HP.	OS: Nap -- You get +40 HP.	 	C	5066
Iron Hog	Set5	ironhog	Warrior	42	20	60	Monster	Boar	 	OS: Warrior Prowess -- Play a Warrior card of your level or less.	 	C	5067
Jr. Cellion	Set5	jrcellion	Warrior	33	30	30	Monster	Fire Kitty	Fire Pounce -- Whenever Jr. Cellion attacks a Water monster or an Ice monster, it gets +40 attack until end of turn.	50W Think Fast / Equip 40 -- Play a tactic or item of level 40 or less.	 	C	5068
Mad Grizzly	Set5	madgrizzly	Warrior	56	40	50	Monster	Bear	Bowman Proof -- Bowman cards don't damage Mad Grizzly.	OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise, put it back.	 	C	5069
Mithril Mutae	Set5	mithrilmutae	Warrior	47	20	40	Monster	Mechanical Guardian	Armored 20 -- Whenever Mithril Mutae would be damaged, prevent 20 of that damage.	50WWW Spawn X -- Spawn a monster of your level or less.	 	U	5070
Pack of Boars	Set5	packofboars	Warrior	42	70	70	Monster	Boar Upgrade	Boar Upgrade -- Put on one of your Boar monsters. Scout -- When you play Pack of Boars, reveal the top card of yoru deck. If it's a monster, put it into your hand. Otherwise, put it back.	50WW Boar Scout -- Reveal the top card of your deck. If it's a Boar card, put it into your hand. Otherwise, put it back.	 	U	5071
Studded Pole Arm	Set5	studdedpolearm	Warrior	20	 	 	Item	Weapon	Each of your monsters gets +10 attack.	60WW Spawn / Equip 70 -- Play a monster or tiem of level 70 or less.	 	C	5072
8 Arms of Zakum	Set5	8armsofzakum	Jobless	70	 	 	Tactic	Zakum Spell	Do 80 damage to a character or monster. You get +80 HP. If you have Zakum, remove all dmage from it.	80 Think Fast / Equip 100 -- Play a tactic or item of level 100 or less.		R	5073
Adobis	Set5	adobis	Jobless	40	20	40	Monster	Human Zakum NPC	NPC Quest -- Level up with a Boss card. Reward -- You may play a Boss from your hand.	30 Collect and Trade -- Reveal and item, a monster, and a tactic card from your hand and put them on the bottom of your deck. If you do, draw 4 cards.	 	U	5074
Aura	Set5	aura	Jobless	50	30	40	Monster	Human Zakum NPC	NPC Quest -- Have 3 or more cards in hand and attack with Aura. Reward -- Your opponent chooses a card at random in your hand and reveals it. If it's a Boss, put it on the bottom of your deck and take another turn after this one.	80 Boss Spawn -- Play a Boss	 	R	5075
Black Boogie	Set5	blackboogie	Jobless	65	70	30	Monster	Flying Zakum Guardian	Inspired -- If you have a Boss, Black Boogie can't be damaged.	OS: Zommand -- Search your deck fro a Zakum card, reveal it, and put it into your hand. Then shuffle your deck.	 	U	5076
Blue Snail	Set5	bluesnail	Jobless	2	10	20	Monster	Beginner Pest	 	10 Bash -- Do 10 damage to a character or monster.	 	C	5077
Boogie	Set5	boogie	Jobless	35	30	40	Monster	Zakum Guardian	Trusted Servant -- You may play each of your Boss monsters as if it were 20 levels less.	30 Boss Hunting 1 -- Reveal the top card of your deck. If it's a Boss, draw it. Otherwise, put it on the bottom of your deck.	 	C	5078
Eye of Fire	Set5	eyeoffire	Jobless	60	 	 	Item	Zakum Fire Jewelry	Whenever you play a monster from your hand, reveal the top card of your deck. If it's a monster, play it. Otherwise, put it on the bottom of your deck.	50 Equip 60 -- Play an item of level 60 or less.	 	R	5079
Frozen Tuna	Set5	frozentuna	Jobless	20	 	 	Item	Beginner Ice Weapon	When you finish doing your character actions each turn, do 10 damage to a character or monster +10 If you played a Jobless card this turn.	50 Think Fast / Equip 50 -- Play a tactic or item of level 50 or less.	 	C	5080
Left Arms of Zakum	Set5	leftarmsofzakum	Jobless	80	50	80	Monster	Zakum Arms	Zeal 50 -- When your turn ends, choose a character or Boss. That character or Boss gets +50 HP, but can't go over it's starting HP with Zeal.	60 Zpawn -- Play a monster of level 60 or less, or play a Zakum card of level 90 or less.	 	U	5081
Mighty Zakum	Set5	mightyzakum	Jobless	140	60	210	Monster	Zakum Boss	Zummon -- You may play Mighty Zakum as if it were 10 levels less for each Zakum card you have in play and in your discard pile.	100 Zupreme Power -- Reveal the top 4 cards of your deck. Play each Zakum card from among them and put the others on the bottom of your deck in any order.	 	R	5082
Mimic	Set5	mimic	Jobless	54	50	50	Monster	Zakum Guardian	Treasure Hoard -- When Mimic is destroyed, you may reveal an item from your hand. If you do, draw a card. If you don't, your opponent may draw a card.	50 Booby Trap -- Discard an item card from your hand. Do damage equal to that item's level, rounded up to the nearest 10, to a character or monster.	 	R	5083
Nimble Feet	Set5	nimblefeet	Jobless	10	 	 	Tactic	Beginner Skill	Prevent the first 20 damage that would be done to you and to each of your monsters next turn. Clash with your opponent. If you win, draw a card. (To clash, each player reveals the top card of their deck, then puts it on top or bottom. Whoever reveawled the highest-level card wins.)	30 Flee -- Clash with your opponent. If you win, draw a card. If you lose, discard your hand.	 	C	5084
Opachu	Set5	opachu	Jobless	70	40	60	Monster	Zakum Guardian	Punish Intruders -- Whenever damage is done to Opachu, do that much damage to your opponent's character.	50 Spawn / Think Fast 50 -- Play a monster of level 50 or less.	 	U	5085
Punco	Set5	punco	Jobless	67	60	70	Monster	Zakum Guardian	 	40 Spawn 40 -- Play a monster of level 40 or less.	 	C	5086
Right Arms of Zakum	Set5	rightarmsofzakum	Jobless	80	80	50	Monster	Zakum Arms	Zeitgeist 20 -- Each of your other Zakum monsters gets +20 attack.	60 Zpawn -- Play a monster of level 60 or less, or play a Zakum card of level 90 or less.	 	U	5087
Three Snails: Blue	Set5	threesnailsblue	Jobless	1	 	 	Tactic	Beginner Skill	Do 20 damage to a character or monster. Whenever a monster of level 10 or less is destroyed, if this card is in your discard pile, you may return it to your hand.	20 Multi Sneak 20 -- Play any number of cards with combined levels of 20 or less.	 	U	5088
Zakum Helmet	Set5	zakumhelmet	Jobless	50	 	 	Item	Zakum Armor	Whenever damage would be done to your character, flip a coin. If you win, prevent that damage. As long as you have Zakum Helmet, you can't play another Zakum Helmet.	80 Sell Loot -- Discard this card. Draw 3 cards.	 	R	5089
Zavier	Set5	zavier	Jobless	 	 	180	Character	Beginner	10 Quest -- Draw a card.	20 Dabble 20 -- Play a card of level 20 or less. You don't need a card of that color under your character.	30 Fish Slap -- Do 10 damage to a character or monster.	C	5090
 Blue Mushroom 	Set6	Set6_0001	Bowman	20	20	20	 Monster	Mushroom	 Bump - When you play Blue Mushroom, you may return a monster to its player's hand.	30B Spawn 30 - Play a monster of level 30 or less		C	6001
 Bow Booster	Set6	Set6_0002	Bowman	30			Tactic	Skill	 Get +30 damage you do with your next character action or tactic until the end of turn. Draw a card.	70BB Spawn / Think Fast 90 - Play a monster or tactic of level 90 or less.		U	6002
 Bubble Fish	Set6	Set6_0003	Bowman	28	20	30	 Monster	Water Fish	 Booster in the Deep 20 - If your opponent has 6 or more cards in his or her discard pile, Bubble Fish gets +20 HP and +20 attack.	OS: Bowman Prowess - Play a Bowman card of your level or less.		C	6003
 Check	Set6	Set6_0004	Bowman	20			Tactic	Strategy	 If your opponent levels up next turn, he or she can’t play a monster, tactic or item until the end of their turn.	Rescue 70 - At the start of your turn, if your level is 70 or more, you may play this card from your discard pile then put it on the bottom of your deck.	OS: Paralysis - Your opponent can’t play tactics next turn.	R	6004
 Evil Eye	Set6	Set6_0005	Bowman	27	20	20	 Monster	 Worm	 Worm Blast - When you play Evil Eye, do damage to a character or monster equals to the number of Pirate cards under you character times 10.	40BB Spawn / Think Fast 40 - Play a monster or tactic level 40 or less.		U	6005
 Green Hawkeye	Set6	Set6_0006	Bowman	30			Item	Armor	 Each of your monsters gets +10 attack. Each of your Flying monsters gets +20 attack instead.	50B Spawn / Think Fast 40 - Play a monster or tactic level 40 or less.		C	6006
 Green Hunter’s Armor	Set6	Set6_0007	Bowman	30			Item	Armor	 When one of your monsters is destroyed, reveal the top card of your deck. If it’s a card of level 20 or less, put it into your hand. Otherwise, put it on the bottom of your deck.	60B Spawn / Equip 60 - Play a monster or item of level 60 or less.		U	6007
 Harp	Set6	Set6_0008	Bowman	80	20	80	 Monster	Flying Bird	 Attack from the Sky - When you play Harp, do 80 damage to an opponent’s character or monster.	OS: Bump - Return a monster to it’s player’s hand.		R	6008
